id,v024_label,v024_nfhs3,state,nfhs5s_urban,nfhs5s_rural,nfhs5s_total,nfhs4s_total
S73,andhra pradesh,andhra pradesh,Andhra Pradesh,2,2.5,2.4,0.5
S74,andhra pradesh,andhra pradesh,Andhra Pradesh,69.2,70.6,70.2,77.3
S75,andhra pradesh,andhra pradesh,Andhra Pradesh,51.6,52.2,52,40
S76,andhra pradesh,andhra pradesh,Andhra Pradesh,61.4,70.4,68,70.2
S77,andhra pradesh,andhra pradesh,Andhra Pradesh,67.3,45.4,50.8,56.1
S78,andhra pradesh,andhra pradesh,Andhra Pradesh,15.2,5.8,8.2,6.5
S79,andhra pradesh,andhra pradesh,Andhra Pradesh,19.5,7.8,12.1,11.9
S80,andhra pradesh,andhra pradesh,Andhra Pradesh,16.7,6.3,9.3,7.6
S81,andhra pradesh,andhra pradesh,Andhra Pradesh,23.1,34.2,31.2,31.4
S82,andhra pradesh,andhra pradesh,Andhra Pradesh,17.6,15.5,16.1,17.2
S83,andhra pradesh,andhra pradesh,Andhra Pradesh,6.4,5.8,6,4.5
S84,andhra pradesh,andhra pradesh,Andhra Pradesh,25.1,31.4,29.6,31.9
S85,andhra pradesh,andhra pradesh,Andhra Pradesh,3,2.6,2.7,1.2
S86,andhra pradesh,andhra pradesh,Andhra Pradesh,11.9,16.2,14.8,17.6
S87,andhra pradesh,andhra pradesh,Andhra Pradesh,15,17.2,16.5,14.8
S88,andhra pradesh,andhra pradesh,Andhra Pradesh,44.4,32.6,36.3,33.2
S89,andhra pradesh,andhra pradesh,Andhra Pradesh,37.7,28,31.1,33.5
S90,andhra pradesh,andhra pradesh,Andhra Pradesh,52.7,47.2,48.9,NA
S91,andhra pradesh,andhra pradesh,Andhra Pradesh,53.8,52.6,53,NA
S92,andhra pradesh,andhra pradesh,Andhra Pradesh,58.7,65,63.2,58.6
S93,andhra pradesh,andhra pradesh,Andhra Pradesh,57.8,59.5,59,60.2
S94,andhra pradesh,andhra pradesh,Andhra Pradesh,56.2,52.7,53.7,52.9
S95,andhra pradesh,andhra pradesh,Andhra Pradesh,57.8,59.3,58.8,60
S96,andhra pradesh,andhra pradesh,Andhra Pradesh,62.3,59.1,60.1,61.1
S97,andhra pradesh,andhra pradesh,Andhra Pradesh,13.8,17.3,16.2,27
S98,andhra pradesh,andhra pradesh,Andhra Pradesh,12.8,21.4,18.7,29.3
S99,andhra pradesh,andhra pradesh,Andhra Pradesh,7.8,7,7.3,3.6225034806180285
S100,andhra pradesh,andhra pradesh,Andhra Pradesh,13.2,9.2,10.4,5.010846647213968
S101,andhra pradesh,andhra pradesh,Andhra Pradesh,23.2,17.9,19.5,9.541245771657545
S102,andhra pradesh,andhra pradesh,Andhra Pradesh,9.2,8.1,8.4,4.317681753884118
S103,andhra pradesh,andhra pradesh,Andhra Pradesh,13.7,10.4,11.4,5.934922633394922
