ID,v024_nfhs4,sdistri,nfhs4_statecode,nfhs4_state,nfhs4_district,nfhs4d_total
S62,2,553,AP,Andhra Pradesh,Anantapur,89.2
S65,2,553,AP,Andhra Pradesh,Anantapur,79.5
V53,2,553,AP,Andhra Pradesh,Anantapur,57.4
S67,2,553,AP,Andhra Pradesh,Anantapur,94.2
S68,2,553,AP,Andhra Pradesh,Anantapur,5.8
S69,2,553,AP,Andhra Pradesh,Anantapur,4.4
S70,2,553,AP,Andhra Pradesh,Anantapur,NA
S71,2,553,AP,Andhra Pradesh,Anantapur,NA
S72,2,553,AP,Andhra Pradesh,Anantapur,NA
V06,2,553,AP,Andhra Pradesh,Anantapur,99.1
S73,2,553,AP,Andhra Pradesh,Anantapur,0.4
S74,2,553,AP,Andhra Pradesh,Anantapur,NA
S75,2,553,AP,Andhra Pradesh,Anantapur,51.3
S76,2,553,AP,Andhra Pradesh,Anantapur,NA
S77,2,553,AP,Andhra Pradesh,Anantapur,NA
S78,2,553,AP,Andhra Pradesh,Anantapur,16.3
S79,2,553,AP,Andhra Pradesh,Anantapur,NA
S80,2,553,AP,Andhra Pradesh,Anantapur,16.4
S81,2,553,AP,Andhra Pradesh,Anantapur,40.3
S82,2,553,AP,Andhra Pradesh,Anantapur,15.2
V07,2,553,AP,Andhra Pradesh,Anantapur,61.3
S83,2,553,AP,Andhra Pradesh,Anantapur,4.5
S84,2,553,AP,Andhra Pradesh,Anantapur,39.3
S86,2,553,AP,Andhra Pradesh,Anantapur,20.2
S87,2,553,AP,Andhra Pradesh,Anantapur,20.2
S88,2,553,AP,Andhra Pradesh,Anantapur,26.5
S89,2,553,AP,Andhra Pradesh,Anantapur,28.8
S92,2,553,AP,Andhra Pradesh,Anantapur,53
S93,2,553,AP,Andhra Pradesh,Anantapur,52.8
S94,2,553,AP,Andhra Pradesh,Anantapur,NA
S95,2,553,AP,Andhra Pradesh,Anantapur,52.7
V08,2,553,AP,Andhra Pradesh,Anantapur,46.5
S97,2,553,AP,Andhra Pradesh,Anantapur,22.6
V81,2,553,AP,Andhra Pradesh,Anantapur,6.9
V82,2,553,AP,Andhra Pradesh,Anantapur,3.7
V83,2,553,AP,Andhra Pradesh,Anantapur,8.9
V84,2,553,AP,Andhra Pradesh,Anantapur,5.1
V85,2,553,AP,Andhra Pradesh,Anantapur,9.2
V86,2,553,AP,Andhra Pradesh,Anantapur,1.8
V87,2,553,AP,Andhra Pradesh,Anantapur,0.9
V88,2,553,AP,Andhra Pradesh,Anantapur,13.9
V89,2,553,AP,Andhra Pradesh,Anantapur,4.9
S10,2,553,AP,Andhra Pradesh,Anantapur,65.9
V90,2,553,AP,Andhra Pradesh,Anantapur,3.9
S111,2,553,AP,Andhra Pradesh,Anantapur,41.9
S112,2,553,AP,Andhra Pradesh,Anantapur,4.9
S113,2,553,AP,Andhra Pradesh,Anantapur,11.7
S01,2,554,AP,Andhra Pradesh,Chittoor,65
S11,2,554,AP,Andhra Pradesh,Chittoor,83.8
S12,2,554,AP,Andhra Pradesh,Chittoor,74.8
