v025,state,id,variable,mean
1,daman and diu,S16,nfhs4s_urban,54.081477815741174
1,daman and diu,S20,nfhs4s_urban,34.10048857011015
1,daman and diu,S20_rev,nfhs4s_urban,65.89951142988984
1,daman and diu,S128,nfhs4s_urban,1.16825466246622
1,daman and diu,S130,nfhs4s_urban,0.8281571677731886
1,daman and diu,S15,nfhs4s_urban,92.77525664973271
1,daman and diu,S17,nfhs4s_urban,62.042227488978554
1,daman and diu,S87,nfhs4s_urban,14.230634258944189
1,daman and diu,S89,nfhs4s_urban,31.56134075820514
1,daman and diu,S129,nfhs4s_urban,31.396901996141658
1,daman and diu,S131,nfhs4s_urban,34.062840981416684
1,daman and diu,S102,nfhs4s_urban,2.3598839445259765
1,daman and diu,S103,nfhs4s_urban,5.873729361336247
1,daman and diu,S104,nfhs4s_urban,8.780854545685067
1,daman and diu,S108,nfhs4s_urban,13.934623953729414
1,daman and diu,S109,nfhs4s_urban,2.4793763101232766
1,daman and diu,S110,nfhs4s_urban,16.779214565653678
1,daman and diu,S81,nfhs4s_urban,31.286020443344793
1,daman and diu,S82,nfhs4s_urban,22.724048037259692
1,daman and diu,S83,nfhs4s_urban,13.399798047236755
1,daman and diu,S84,nfhs4s_urban,27.75885452792458
1,daman and diu,S85,nfhs4s_urban,5.352412981595689
1,daman and diu,S92,nfhs4s_urban,77.6084101604661
1,daman and diu,S07,nfhs4s_urban,99.7320820604914
1,daman and diu,S08,nfhs4s_urban,99.10922761666157
1,daman and diu,S09,nfhs4s_urban,61.61052649565306
1,daman and diu,S10,nfhs4s_urban,84.59301784102657
1,daman and diu,S12,nfhs4s_urban,28.469711393916935
1,delhi,S86,nfhs4s_urban,14.796551582983897
1,delhi,S88,nfhs4s_urban,33.44729769260473
1,delhi,S99,nfhs4s_urban,3.8233517357939713
1,delhi,S100,nfhs4s_urban,4.219907705602466
1,delhi,S101,nfhs4s_urban,9.319174089421455
1,delhi,S105,nfhs4s_urban,6.887074639160054
1,delhi,S106,nfhs4s_urban,1.9111022490563079
1,delhi,S107,nfhs4s_urban,10.368571770071531
1,delhi,S14,nfhs4s_urban,80.88477816393376
1,delhi,S16,nfhs4s_urban,54.18689473508421
1,delhi,S20,nfhs4s_urban,29.250096762716737
1,delhi,S20_rev,nfhs4s_urban,70.74990323728326
1,delhi,S128,nfhs4s_urban,1.62330025015418
1,delhi,S130,nfhs4s_urban,0.634089153536342
1,delhi,S15,nfhs4s_urban,89.22712626391886
1,delhi,S17,nfhs4s_urban,54.3932744248852
1,delhi,S87,nfhs4s_urban,17.846950662228465
1,delhi,S89,nfhs4s_urban,24.110453077267664
1,delhi,S129,nfhs4s_urban,30.214987845532537
1,delhi,S131,nfhs4s_urban,24.770993763328462
1,delhi,S102,nfhs4s_urban,6.424191447400733
1,delhi,S103,nfhs4s_urban,4.008172282880099
1,delhi,S104,nfhs4s_urban,10.913901938969259
1,delhi,S108,nfhs4s_urban,5.8816957408154265
1,delhi,S109,nfhs4s_urban,0.8055657592173703
1,delhi,S110,nfhs4s_urban,7.428097940995723
1,delhi,S81,nfhs4s_urban,31.70470299501683
1,delhi,S82,nfhs4s_urban,16.035029771557834
1,delhi,S83,nfhs4s_urban,10.754186175384058
1,delhi,S84,nfhs4s_urban,27.134611950915634
1,delhi,S85,nfhs4s_urban,1.2195327262394453
1,delhi,S92,nfhs4s_urban,59.48231324565999
1,delhi,S07,nfhs4s_urban,99.79078959327397
1,delhi,S08,nfhs4s_urban,99.79289340217532
1,delhi,S09,nfhs4s_urban,74.93526383362425
1,delhi,S10,nfhs4s_urban,98.51904720605954
1,delhi,S12,nfhs4s_urban,15.86219840776224
1,goa,S86,nfhs4s_urban,10.369625139613376
1,goa,S88,nfhs4s_urban,36.296129401343194
1,goa,S99,nfhs4s_urban,3.9731726965681613
1,goa,S100,nfhs4s_urban,4.932489152249861
1,goa,S101,nfhs4s_urban,10.65459330295309
1,goa,S105,nfhs4s_urban,8.750861907135391
1,goa,S106,nfhs4s_urban,2.1988107070911385
1,goa,S107,nfhs4s_urban,11.953329516392307
1,goa,S14,nfhs4s_urban,87.97198748277887
1,goa,S16,nfhs4s_urban,58.53071677038375
1,goa,S20,nfhs4s_urban,14.450285722995243
1,goa,S20_rev,nfhs4s_urban,85.54971427700477
1,goa,S128,nfhs4s_urban,1.6935516009268439
1,goa,S130,nfhs4s_urban,4.1496087647695425
1,goa,S15,nfhs4s_urban,93.47030182866037
1,goa,S17,nfhs4s_urban,63.373314170578865
1,goa,S87,nfhs4s_urban,8.38229726569264
1,goa,S89,nfhs4s_urban,35.4024722824105
1,goa,S129,nfhs4s_urban,22.120929071460285
1,goa,S131,nfhs4s_urban,49.39666113241144
1,goa,S102,nfhs4s_urban,5.876319731634227
1,goa,S103,nfhs4s_urban,7.8928415532285205
1,goa,S104,nfhs4s_urban,15.320711982646937
1,goa,S108,nfhs4s_urban,10.905811602571784
1,goa,S109,nfhs4s_urban,2.651199342497251
1,goa,S110,nfhs4s_urban,13.702506342778772
1,goa,S81,nfhs4s_urban,18.297154142225487
1,goa,S82,nfhs4s_urban,27.726190038209765
1,goa,S83,nfhs4s_urban,10.415284513581494
1,goa,S84,nfhs4s_urban,25.317948286913815
1,goa,S85,nfhs4s_urban,4.719290655558493
1,goa,S92,nfhs4s_urban,52.157989706841256
1,goa,S07,nfhs4s_urban,99.77557678544134
1,goa,S08,nfhs4s_urban,98.02687283625292
1,goa,S09,nfhs4s_urban,76.49197884738723
1,goa,S10,nfhs4s_urban,91.066990058717
1,goa,S12,nfhs4s_urban,18.5493843589035
1,gujarat,S86,nfhs4s_urban,18.095369849066962
1,gujarat,S88,nfhs4s_urban,34.511268864094305
1,gujarat,S99,nfhs4s_urban,3.6827473529819974
1,gujarat,S100,nfhs4s_urban,3.1031374229773236
1,gujarat,S101,nfhs4s_urban,7.235903907941643
1,gujarat,S105,nfhs4s_urban,10.276962473158529
1,gujarat,S106,nfhs4s_urban,3.3441945690457984
1,gujarat,S107,nfhs4s_urban,14.579553176736995
1,gujarat,S14,nfhs4s_urban,83.12422118698579
1,gujarat,S16,nfhs4s_urban,45.30117201373698
1,gujarat,S20,nfhs4s_urban,29.71111915902523
1,gujarat,S20_rev,nfhs4s_urban,70.28888084097477
1,gujarat,S128,nfhs4s_urban,5.216859904830424
1,gujarat,S130,nfhs4s_urban,0.1098398484883116
1,gujarat,S15,nfhs4s_urban,93.01994876221318
1,gujarat,S17,nfhs4s_urban,53.4131671085463
1,gujarat,S87,nfhs4s_urban,19.063847972066007
1,gujarat,S89,nfhs4s_urban,25.93860032763094
1,gujarat,S129,nfhs4s_urban,46.0041249465238
1,gujarat,S131,nfhs4s_urban,10.60729490046564
1,gujarat,S102,nfhs4s_urban,4.832985196875955
1,gujarat,S103,nfhs4s_urban,3.6241438786747326
1,gujarat,S104,nfhs4s_urban,9.078086796841822
1,gujarat,S108,nfhs4s_urban,13.293865395976196
1,gujarat,S109,nfhs4s_urban,3.148977000002217
1,gujarat,S110,nfhs4s_urban,16.185026288325407
1,gujarat,S81,nfhs4s_urban,31.619499295763354
1,gujarat,S82,nfhs4s_urban,23.412157812686626
1,gujarat,S83,nfhs4s_urban,12.426655497225596
1,gujarat,S84,nfhs4s_urban,31.906443331357814
1,gujarat,S85,nfhs4s_urban,2.4175761859409213
1,gujarat,S92,nfhs4s_urban,59.877803891465135
1,gujarat,S07,nfhs4s_urban,98.68456202379973
1,gujarat,S08,nfhs4s_urban,99.59625471401873
1,gujarat,S09,nfhs4s_urban,86.10573830810347
1,gujarat,S10,nfhs4s_urban,84.68802937900469
1,gujarat,S12,nfhs4s_urban,23.336088869178383
1,haryana,S86,nfhs4s_urban,12.185958532234435
1,haryana,S88,nfhs4s_urban,24.267990507741864
1,haryana,S99,nfhs4s_urban,4.0420681738590645
1,haryana,S100,nfhs4s_urban,2.2951718026244614
1,haryana,S101,nfhs4s_urban,6.896279514086687
1,haryana,S105,nfhs4s_urban,10.502184048526807
1,haryana,S106,nfhs4s_urban,3.14970584405724
1,haryana,S107,nfhs4s_urban,16.146923739529846
1,haryana,S14,nfhs4s_urban,80.33967122393801
1,haryana,S16,nfhs4s_urban,55.10007472493641
1,haryana,S20,nfhs4s_urban,34.28635499939484
1,haryana,S20_rev,nfhs4s_urban,65.71364500060517
1,haryana,S128,nfhs4s_urban,1.675575213045947
1,haryana,S130,nfhs4s_urban,0.23626707505368152
1,haryana,S15,nfhs4s_urban,92.99408461993744
1,haryana,S17,nfhs4s_urban,64.65146409152787
1,haryana,S87,nfhs4s_urban,9.005047406325295
1,haryana,S89,nfhs4s_urban,20.99148557066404
1,haryana,S129,nfhs4s_urban,30.622138537992686
1,haryana,S131,nfhs4s_urban,24.88355269389084
1,haryana,S102,nfhs4s_urban,5.454000633349074
1,haryana,S103,nfhs4s_urban,1.899255372732919
1,haryana,S104,nfhs4s_urban,7.662506966310256
